Region name ,Local Authority Code,Local authority name,cx,cy,Year,Median House Price,Median House Earnings,Affordability Ratio
North East,E06000001,Hartlepool,-1.255491673,54.6687524,2011,105000,24286,4.32
North East,E06000002,Middlesbrough,-1.222803326,54.54263426,2011,102500,20572,4.98
North East,E06000003,Redcar and Cleveland,-1.0215477,54.55345675,2011,112000,23607,4.74
North East,E06000004,Stockton-on-Tees,-1.32897817,54.56246316,2011,125000,25240,4.95
North East,E06000005,Darlington,-1.552697772,54.54875917,2011,120000,23261,5.16
North East,E06000047,County Durham,-2.720016309,53.34379321,2011,100000,22817,4.38
North East,E06000057,Northumberland,-2.562849436,53.39848758,2011,137525,25064,5.49
North East,E08000021,Newcastle upon Tyne,-2.467125659,53.69224143,2011,135000,22030,6.13
North East,E08000022,North Tyneside,-3.035480896,53.81754916,2011,132667,24017,5.52
North East,E08000023,South Tyneside,-0.336393722,53.76014155,2011,107000,22760,4.7
North East,E08000024,Sunderland,-0.482243608,53.86796645,2011,106000,22321,4.75
North East,E08000037,Gateshead,-0.133932131,53.54403874,2011,117500,23000,5.11
North West,E06000006,Halton,-0.592051957,53.59430536,2011,113000,22781,4.96
North West,E06000007,Warrington,-1.060622908,53.95864242,2011,148998,26159,5.7
North West,E06000008,Blackburn with Darwen,-1.468345352,52.91277199,2011,92500,20974,4.41
North West,E06000009,Blackpool,-1.127552546,52.63828214,2011,99000,19254,5.14
North West,E06000049,Cheshire East,-0.654131628,52.66070059,2011,170000,26441,6.43
North West,E06000050,Cheshire West and Chester,-1.175936864,52.96117684,2011,156000,26114,5.97
North West,E07000026,Allerdale,-2.745674847,52.10375789,2011,133000,22999,5.78
North West,E07000027,Barrow-in-Furness,-2.488480286,52.73019552,2011,97485,25402,3.84
North West,E07000028,Carlisle,-2.165178307,53.01764815,2011,120000,21997,5.46
North West,E07000029,Copeland,-2.474413176,51.35610688,2011,115000,32026,3.59
North West,E07000030,Eden,-2.77019708,51.45262518,2011,175000,21571,8.11
North West,E07000031,South Lakeland,-2.799962352,51.38924102,2011,196750,23798,8.27
North West,E07000117,Burnley,-2.471175154,51.54735612,2011,75000,21484,3.49
North West,E07000118,Chorley,-4.120169786,50.39116289,2011,149000,24591,6.06
North West,E07000119,Fylde,-3.530450608,50.44080631,2011,162000,29654,5.46
North West,E07000120,Hyndburn,-1.744335675,51.57133752,2011,85000,22767,3.73
North West,E07000121,Lancaster,-0.253777754,52.60847253,2011,125000,26165,4.78
North West,E07000122,Pendle,-0.424494227,51.89426164,2011,85000,22544,3.77
North West,E07000123,Preston,0.728995239,51.53762932,2011,114250,22309,5.12
North West,E07000124,Ribble Valley,0.374103739,51.50602384,2011,185750,26240,7.08
North West,E07000125,Rossendale,0.570017714,51.42566667,2011,110000,24428,4.5
North West,E07000126,South Ribble,-0.739927541,51.40780192,2011,140000,24877,5.63
North West,E07000127,West Lancashire,-1.304854635,51.44968897,2011,150000,25446,5.89
North West,E07000128,Wyre,-0.984755179,51.4532474,2011,135000,22846,5.91
North West,E08000001,Bolton,-0.586813114,51.50816196,2011,107000,22881,4.68
North West,E08000002,Bury,-0.698992594,51.48508413,2011,120000,25996,4.62
North West,E08000003,Manchester,-0.884141546,51.42928171,2011,127500,22554,5.65
North West,E08000004,Oldham,-0.733464556,52.08427496,2011,104973,22120,4.75
