Code,Region Name,Year,Value
K04000001,England and Wales,2011,"26,290"
E92000001,England ,2011,"26,488"
E12000001,North East,2011,"23,250"
E12000002,North West,2011,"24,167"
E12000003,Yorkshire and The Humber,2011,"24,119"
E12000004,East Midlands,2011,"24,002"
E12000005,West Midlands,2011,"24,291"
E12000006,East,2011,"25,953"
E12000007,London,2011,"34,396"
E12000008,South East,2011,"27,881"
E12000009,South West,2011,"24,306"
W92000004,Wales,2011,"23,397"
K04000001,England and Wales,2012,"26,633"
E92000001,England ,2012,"26,822"
E12000001,North East,2012,"23,781"
E12000002,North West,2012,"24,603"
E12000003,Yorkshire and The Humber,2012,"24,288"
E12000004,East Midlands,2012,"24,626"
E12000005,West Midlands,2012,"24,573"
E12000006,East,2012,"26,145"
E12000007,London,2012,"34,883"
E12000008,South East,2012,"28,175"
E12000009,South West,2012,"24,581"
W92000004,Wales,2012,"23,617"
K04000001,England and Wales,2013,"27,169"
E92000001,England ,2013,"27,372"
E12000001,North East,2013,"24,113"
E12000002,North West,2013,"25,111"
E12000003,Yorkshire and The Humber,2013,"24,933"
E12000004,East Midlands,2013,"24,918"
E12000005,West Midlands,2013,"25,328"
E12000006,East,2013,"26,514"
E12000007,London,2013,"35,173"
E12000008,South East,2013,"28,315"
E12000009,South West,2013,"25,242"
W92000004,Wales,2013,"24,103"
K04000001,England and Wales,2014,"27,321"
E92000001,England ,2014,"27,485"
E12000001,North East,2014,"24,904"
E12000002,North West,2014,"25,262"
E12000003,Yorkshire and The Humber,2014,"24,999"
E12000004,East Midlands,2014,"25,000"
E12000005,West Midlands,2014,"24,963"
E12000006,East,2014,"26,817"
E12000007,London,2014,"35,034"
E12000008,South East,2014,"28,607"
E12000009,South West,2014,"25,585"
W92000004,Wales,2014,"24,453"
K04000001,England and Wales,2015,"27,680"
E92000001,England ,2015,"27,841"
E12000001,North East,2015,"25,347"
E12000002,North West,2015,"25,667"
E12000003,Yorkshire and The Humber,2015,"25,194"
E12000004,East Midlands,2015,"25,003"
E12000005,West Midlands,2015,"25,682"
E12000006,East,2015,"27,300"
E12000007,London,2015,"35,303"
E12000008,South East,2015,"29,031"
E12000009,South West,2015,"25,950"
W92000004,Wales,2015,"24,869"
K04000001,England and Wales,2016,"28,325"
E92000001,England ,2016,"28,496"
E12000001,North East,2016,"25,561"
E12000002,North West,2016,"26,220"
E12000003,Yorkshire and The Humber,2016,"25,946"
E12000004,East Midlands,2016,"25,474"
E12000005,West Midlands,2016,"26,352"
E12000006,East,2016,"27,892"
E12000007,London,2016,"36,170"
E12000008,South East,2016,"29,700"
E12000009,South West,2016,"26,372"
W92000004,Wales,2016,"25,440"
K04000001,England and Wales,2017,"28,939"
E92000001,England ,2017,"29,083"
E12000001,North East,2017,"25,904"
E12000002,North West,2017,"26,754"
E12000003,Yorkshire and The Humber,2017,"26,309"
E12000004,East Midlands,2017,"25,882"
E12000005,West Midlands,2017,"26,837"
E12000006,East,2017,"28,456"
E12000007,London,2017,"37,171"
E12000008,South East,2017,"30,236"
E12000009,South West,2017,"27,119"
W92000004,Wales,2017,"26,026"
K04000001,England and Wales,2018,"29,667"
E92000001,England ,2018,"29,856"
E12000001,North East,2018,"26,355"
E12000002,North West,2018,"27,376"
E12000003,Yorkshire and The Humber,2018,"26,892"
E12000004,East Midlands,2018,"26,711"
E12000005,West Midlands,2018,"27,682"
E12000006,East,2018,"29,153"
E12000007,London,2018,"38,146"
E12000008,South East,2018,"30,849"
E12000009,South West,2018,"27,956"
W92000004,Wales,2018,"26,353"
K04000001,England and Wales,2019,"30,526"
E92000001,England ,2019,"30,704"
E12000001,North East,2019,"27,234"
E12000002,North West,2019,"28,175"
E12000003,Yorkshire and The Humber,2019,"27,879"
E12000004,East Midlands,2019,"28,044"
E12000005,West Midlands,2019,"28,549"
E12000006,East,2019,"30,350"
E12000007,London,2019,"39,013"
E12000008,South East,2019,"32,127"
E12000009,South West,2019,"28,721"
W92000004,Wales,2019,"27,466"
K04000001,England and Wales,2020,"31,605"
E92000001,England ,2020,"31,791"
E12000001,North East,2020,"27,833"
E12000002,North West,2020,"29,459"
E12000003,Yorkshire and The Humber,2020,"28,709"
E12000004,East Midlands,2020,"29,043"
E12000005,West Midlands,2020,"29,628"
E12000006,East,2020,"31,016"
E12000007,London,2020,"40,994"
E12000008,South East,2020,"32,980"
E12000009,South West,2020,"29,751"
W92000004,Wales,2020,"28,387"
K04000001,England and Wales,2021,"31,300"
E92000001,England ,2021,"31,440"
E12000001,North East,2021,"27,560"
E12000002,North West,2021,"29,371"
E12000003,Yorkshire and The Humber,2021,"28,732"
E12000004,East Midlands,2021,"28,363"
E12000005,West Midlands,2021,"29,893"
E12000006,East,2021,"30,735"
E12000007,London,2021,"39,737"
E12000008,South East,2021,"32,827"
E12000009,South West,2021,"29,002"
W92000004,Wales,2021,"28,527"
