Region name,Local authority name,Year,Median House Price,Median House Earnings,Affordability Ratio
North East,Hartlepool,2011,105000,24286,4.32
North East,Middlesbrough,2011,102500,20572,4.98
North East,Redcar and Cleveland,2011,112000,23607,4.74
North East,Stockton-on-Tees,2011,125000,25240,4.95
North East,Darlington,2011,120000,23261,5.16
North East,County Durham,2011,100000,22817,4.38
North East,Northumberland,2011,137525,25064,5.49
North East,Newcastle upon Tyne,2011,135000,22030,6.13
North East,North Tyneside,2011,132667,24017,5.52
North East,South Tyneside,2011,107000,22760,4.7
North East,Sunderland,2011,106000,22321,4.75
North East,Gateshead,2011,117500,23000,5.11
North West,Halton,2011,113000,22781,4.96
North West,Warrington,2011,148998,26159,5.7
North West,Blackburn with Darwen,2011,92500,20974,4.41
North West,Blackpool,2011,99000,19254,5.14
North West,Cheshire East,2011,170000,26441,6.43
North West,Cheshire West and Chester,2011,156000,26114,5.97
North West,Allerdale,2011,133000,22999,5.78
North West,Barrow-in-Furness,2011,97485,25402,3.84
North West,Carlisle,2011,120000,21997,5.46
North West,Copeland,2011,115000,32026,3.59
North West,Eden,2011,175000,21571,8.11
North West,South Lakeland,2011,196750,23798,8.27
North West,Burnley,2011,75000,21484,3.49
North West,Chorley,2011,149000,24591,6.06
North West,Fylde,2011,162000,29654,5.46
North West,Hyndburn,2011,85000,22767,3.73
North West,Lancaster,2011,125000,26165,4.78
North West,Pendle,2011,85000,22544,3.77
North West,Preston,2011,114250,22309,5.12
North West,Ribble Valley,2011,185750,26240,7.08
North West,Rossendale,2011,110000,24428,4.5
North West,South Ribble,2011,140000,24877,5.63
North West,West Lancashire,2011,150000,25446,5.89
North West,Wyre,2011,135000,22846,5.91
North West,Bolton,2011,107000,22881,4.68
North West,Bury,2011,120000,25996,4.62
North West,Manchester,2011,127500,22554,5.65
North West,Oldham,2011,104973,22120,4.75
North West,Rochdale,2011,105000,23349,4.5
North West,Salford,2011,110000,22639,4.86
North West,Stockport,2011,160000,25933,6.17
North West,Tameside,2011,108000,21489,5.03
North West,Trafford,2011,186000,28586,6.51
North West,Wigan,2011,110000,24038,4.58
North West,Knowsley,2011,106950,23621,4.53
North West,Liverpool,2011,110000,23704,4.64
North West,St. Helens,2011,110000,25544,4.31
North West,Sefton,2011,141000,23760,5.93
North West,Wirral,2011,135000,25578,5.28
Yorkshire and The Humber,"Kingston upon Hull, City of",2011,88500,21171,4.18
Yorkshire and The Humber,East Riding of Yorkshire,2011,139950,26706,5.24
Yorkshire and The Humber,North East Lincolnshire,2011,110000,23213,4.74
Yorkshire and The Humber,North Lincolnshire,2011,115000,26255,4.38
Yorkshire and The Humber,York,2011,175000,25437,6.88
Yorkshire and The Humber,Craven,2011,175375,23881,7.34
Yorkshire and The Humber,Hambleton,2011,200000,24514,8.16
Yorkshire and The Humber,Harrogate,2011,215000,26008,8.27
Yorkshire and The Humber,Richmondshire,2011,193500,24982,7.75
Yorkshire and The Humber,Ryedale,2011,185000,19958,9.27
Yorkshire and The Humber,Scarborough,2011,145000,23268,6.23
Yorkshire and The Humber,Selby,2011,158000,27123,5.83
Yorkshire and The Humber,Barnsley,2011,102000,23856,4.28
Yorkshire and The Humber,Doncaster,2011,110000,23706,4.64
Yorkshire and The Humber,Rotherham,2011,115000,23783,4.84
Yorkshire and The Humber,Sheffield,2011,124950,24227,5.16
Yorkshire and The Humber,Bradford,2011,120000,21675,5.54
Yorkshire and The Humber,Calderdale,2011,120000,24327,4.93
Yorkshire and The Humber,Kirklees,2011,124950,24719,5.05
Yorkshire and The Humber,Leeds,2011,142000,24559,5.78
Yorkshire and The Humber,Wakefield,2011,120000,22014,5.45
East Midlands,Derby,2011,119950,26274,4.57
East Midlands,Leicester,2011,121500,21323,5.7
East Midlands,Rutland,2011,205000,25925,7.91
East Midlands,Nottingham,2011,98000,23000,4.26
East Midlands,Amber Valley,2011,130000,24719,5.26
East Midlands,Bolsover,2011,95000,21716,4.37
East Midlands,Chesterfield,2011,118925,24226,4.91
East Midlands,Derbyshire Dales,2011,205000,28501,7.19
East Midlands,Erewash,2011,119000,24368,4.88
East Midlands,High Peak,2011,145000,25949,5.59
East Midlands,North East Derbyshire,2011,145000,25725,5.64
East Midlands,South Derbyshire,2011,142500,24722,5.76
East Midlands,Blaby,2011,155000,27190,5.7
East Midlands,Charnwood,2011,154625,25404,6.09
East Midlands,Harborough,2011,185000,29942,6.18
East Midlands,Hinckley and Bosworth,2011,149248,25634,5.82
East Midlands,Melton,2011,157000,23530,6.67
East Midlands,North West Leicestershire,2011,145000,24758,5.86
East Midlands,Oadby and Wigston,2011,150000,26598,5.64
East Midlands,Boston,2011,120000,20444,5.87
East Midlands,East Lindsey,2011,134000,22227,6.03
East Midlands,Lincoln,2011,119998,22919,5.24
East Midlands,North Kesteven,2011,143000,21862,6.54
East Midlands,South Holland,2011,133000,23384,5.69
East Midlands,South Kesteven,2011,153000,26251,5.83
East Midlands,West Lindsey,2011,140000,24385,5.74
East Midlands,North Northamptonshire,2011,135000,24936,5.41
East Midlands,West Northamptonshire,2011,160000,26419,6.06
East Midlands,Ashfield,2011,110995,21020,5.28
East Midlands,Bassetlaw,2011,125000,23720,5.27
East Midlands,Broxtowe,2011,132000,24880,5.31
East Midlands,Gedling,2011,132000,25034,5.27
East Midlands,Mansfield,2011,108800,20519,5.3
East Midlands,Newark and Sherwood,2011,135000,22259,6.06
East Midlands,Rushcliffe,2011,192500,32558,5.91
West Midlands,"Herefordshire, County of",2011,180000,20561,8.75
West Midlands,Telford and Wrekin,2011,138000,22802,6.05
West Midlands,Stoke-on-Trent,2011,85000,21223,4.01
West Midlands,Shropshire,2011,170000,25078,6.78
West Midlands,Cannock Chase,2011,125000,23926,5.22
West Midlands,East Staffordshire,2011,135000,23967,5.63
West Midlands,Lichfield,2011,178000,27653,6.44
West Midlands,Newcastle-under-Lyme,2011,120000,22394,5.36
West Midlands,South Staffordshire,2011,170250,26304,6.47
West Midlands,Stafford,2011,160000,25856,6.19
West Midlands,Staffordshire Moorlands,2011,136000,24917,5.46
West Midlands,Tamworth,2011,135000,25556,5.28
West Midlands,North Warwickshire,2011,142500,26548,5.37
West Midlands,Nuneaton and Bedworth,2011,125000,25150,4.97
West Midlands,Rugby,2011,154000,26937,5.72
West Midlands,Stratford-on-Avon,2011,233500,27935,8.36
West Midlands,Warwick,2011,205000,28619,7.16
West Midlands,Bromsgrove,2011,203950,29633,6.88
West Midlands,Malvern Hills,2011,210000,23339,9
West Midlands,Redditch,2011,142750,22164,6.44
West Midlands,Worcester,2011,157500,26034,6.05
West Midlands,Wychavon,2011,200000,26595,7.52
West Midlands,Wyre Forest,2011,146250,20442,7.15
West Midlands,Birmingham,2011,128500,24042,5.34
West Midlands,Coventry,2011,122748,24986,4.91
West Midlands,Dudley,2011,129000,23196,5.56
West Midlands,Sandwell,2011,110000,21882,5.03
West Midlands,Solihull,2011,203875,28815,7.08
West Midlands,Walsall,2011,125000,21652,5.77
West Midlands,Wolverhampton,2011,114475,21553,5.31
East of England,Peterborough,2011,131500,23788,5.53
East of England,Luton,2011,150000,24675,6.08
East of England,Southend-on-Sea,2011,180000,27487,6.55
East of England,Thurrock,2011,172000,27383,6.28
East of England,Bedford,2011,184625,26714,6.91
East of England,Central Bedfordshire,2011,190000,28243,6.73
East of England,Cambridge,2011,255750,29434,8.69
East of England,East Cambridgeshire,2011,184950,28715,6.44
East of England,Fenland,2011,132000,23874,5.53
East of England,Huntingdonshire,2011,175000,29084,6.02
East of England,South Cambridgeshire,2011,237750,31353,7.58
East of England,Basildon,2011,180000,28395,6.34
East of England,Braintree,2011,184150,28114,6.55
East of England,Brentwood,2011,252950,37737,6.7
East of England,Castle Point,2011,191750,25636,7.48
East of England,Chelmsford,2011,219995,31198,7.05
East of England,Colchester,2011,175000,27089,6.46
East of England,Epping Forest,2011,280000,30677,9.13
East of England,Harlow,2011,170000,24453,6.95
East of England,Maldon,2011,215000,33128,6.49
East of England,Rochford,2011,210000,29793,7.05
East of England,Tendring,2011,153000,24575,6.23
East of England,Uttlesford,2011,278500,31159,8.94
East of England,Broxbourne,2011,224500,28861,7.78
East of England,Dacorum,2011,240000,30751,7.8
East of England,Hertsmere,2011,285500,28743,9.93
East of England,North Hertfordshire,2011,227500,32696,6.96
East of England,Three Rivers,2011,299975,34141,8.79
East of England,Watford,2011,214975,31700,6.78
East of England,Breckland,2011,152000,22179,6.85
East of England,Broadland,2011,167500,26445,6.33
East of England,Great Yarmouth,2011,129950,22098,5.88
East of England,King's Lynn and West Norfolk,2011,151250,23446,6.45
East of England,North Norfolk,2011,173500,22256,7.8
East of England,Norwich,2011,139950,23667,5.91
East of England,South Norfolk,2011,175475,26768,6.56
East of England,Babergh,2011,190000,28547,6.66
East of England,Ipswich,2011,131250,23198,5.66
East of England,Mid Suffolk,2011,180000,25123,7.16
East of England,St Albans,2011,350000,37412,9.36
East of England,Welwyn Hatfield,2011,240000,30297,7.92
East of England,East Hertfordshire,2011,250000,31419,7.96
East of England,Stevenage,2011,167500,28854,5.81
East of England,East Suffolk,2011,172375,25752,6.69
East of England,West Suffolk,2011,170000,25024,6.79
London,City of London,2011,455000,52537,8.66
London,Barking and Dagenham,2011,170000,25915,6.56
London,Barnet,2011,327000,32490,10.06
London,Bexley,2011,217000,32041,6.77
London,Brent,2011,300000,26808,11.19
London,Bromley,2011,275000,34111,8.06
London,Camden,2011,490000,35110,13.96
London,Croydon,2011,219998,30268,7.27
London,Ealing,2011,286000,30366,9.42
London,Enfield,2011,240000,29041,8.26
London,Greenwich,2011,249999,30603,8.17
London,Hackney,2011,295000,32034,9.21
London,Hammersmith and Fulham,2011,460000,35087,13.11
London,Haringey,2011,303000,30407,9.96
London,Harrow,2011,295000,31006,9.51
London,Havering,2011,219995,30193,7.29
London,Hillingdon,2011,250000,30734,8.13
London,Hounslow,2011,250000,29236,8.55
London,Islington,2011,405000,36241,11.18
London,Kensington and Chelsea,2011,782580,47492,16.48
London,Kingston upon Thames,2011,300000,34898,8.6
London,Lambeth,2011,305000,34079,8.95
London,Lewisham,2011,237000,29332,8.08
London,Merton,2011,295000,33037,8.93
London,Newham,2011,215000,26489,8.12
London,Redbridge,2011,250000,32202,7.76
London,Richmond upon Thames,2011,420000,41136,10.21
London,Southwark,2011,323000,33340,9.69
London,Sutton,2011,235000,29363,8
London,Tower Hamlets,2011,300000,33805,8.87
London,Waltham Forest,2011,230000,27017,8.51
London,Wandsworth,2011,389500,36606,10.64
London,Westminster,2011,610000,41815,14.59
South East,Medway,2011,150000,28155,5.33
South East,Bracknell Forest,2011,220750,30033,7.35
South East,West Berkshire,2011,247200,30000,8.24
South East,Reading,2011,190000,28354,6.7
South East,Slough,2011,190000,26780,7.09
South East,Windsor and Maidenhead,2011,327250,37451,8.74
South East,Wokingham,2011,275000,36456,7.54
South East,Milton Keynes,2011,177000,28299,6.25
South East,Brighton and Hove,2011,240000,28019,8.57
South East,Portsmouth,2011,149000,24299,6.13
South East,Southampton,2011,161250,23743,6.79
South East,Isle of Wight,2011,170000,23886,7.12
South East,Buckinghamshire,2011,270000,33045,8.17
South East,Eastbourne,2011,175000,23496,7.45
South East,Hastings,2011,148000,22410,6.6
South East,Lewes,2011,230000,27967,8.22
South East,Rother,2011,215000,25416,8.46
South East,Wealden,2011,234000,29494,7.93
South East,Basingstoke and Deane,2011,210000,29598,7.1
South East,East Hampshire,2011,265000,30191,8.78
South East,Eastleigh,2011,199995,27664,7.23
South East,Fareham,2011,202500,28659,7.07
South East,Gosport,2011,140825,23600,5.97
South East,Hart,2011,285000,37662,7.57
South East,Havant,2011,185000,25388,7.29
South East,New Forest,2011,245000,27586,8.88
South East,Rushmoor,2011,202000,27120,7.45
South East,Test Valley,2011,237500,26554,8.94
South East,Winchester,2011,298000,33826,8.81
South East,Ashford,2011,180000,26388,6.82
South East,Canterbury,2011,200000,30129,6.64
South East,Dartford,2011,185000,30050,6.16
South East,Dover,2011,155000,26347,5.88
South East,Gravesham,2011,179498,29774,6.03
South East,Maidstone,2011,198000,29744,6.66
South East,Sevenoaks,2011,284000,32694,8.69
South East,Folkestone and Hythe,2011,175000,25958,6.74
South East,Swale,2011,155000,29144,5.32
South East,Thanet,2011,153000,22016,6.95
South East,Tonbridge and Malling,2011,240000,32579,7.37
South East,Tunbridge Wells,2011,240000,33225,7.22
South East,Cherwell,2011,210000,27901,7.53
South East,Oxford,2011,257000,27900,9.21
South East,South Oxfordshire,2011,270000,32042,8.43
South East,Vale of White Horse,2011,244000,30955,7.88
South East,West Oxfordshire,2011,234500,29266,8.01
South East,Elmbridge,2011,385000,39942,9.64
South East,Epsom and Ewell,2011,318750,37866,8.42
South East,Guildford,2011,299950,33586,8.93
South East,Mole Valley,2011,350000,32138,10.89
South East,Reigate and Banstead,2011,275000,34751,7.91
South East,Runnymede,2011,269975,31927,8.46
South East,Spelthorne,2011,249950,33381,7.49
South East,Surrey Heath,2011,273000,33232,8.21
South East,Tandridge,2011,300000,28636,10.48
South East,Waverley,2011,329950,34172,9.66
South East,Woking,2011,250000,29831,8.38
South East,Adur,2011,205000,21328,9.61
South East,Arun,2011,203000,22802,8.9
South East,Chichester,2011,266000,27990,9.5
South East,Crawley,2011,181725,26447,6.87
South East,Horsham,2011,258750,32408,7.98
South East,Mid Sussex,2011,250000,29882,8.37
South East,Worthing,2011,195000,26332,7.41
South West,Bath and North East Somerset,2011,230000,25937,8.87
South West,"Bristol, City of",2011,171000,25235,6.78
South West,North Somerset,2011,185000,28700,6.45
South West,South Gloucestershire,2011,180000,26709,6.74
South West,Plymouth,2011,142000,23673,6
South West,Torbay,2011,160000,22055,7.25
South West,Swindon,2011,150000,26869,5.58
South West,Cornwall,2011,187000,21752,8.6
South West,Isles of Scilly,2011,345000,:,:
South West,Wiltshire,2011,203000,26622,7.63
South West,"Bournemouth, Christchurch and Poole",2011,209000,25563,8.18
South West,Dorset,2011,225000,24252,9.28
South West,East Devon,2011,223750,23097,9.69
South West,Exeter,2011,185000,23006,8.04
South West,Mid Devon,2011,182500,22095,8.26
South West,North Devon,2011,186000,20572,9.04
South West,South Hams,2011,242500,25245,9.61
South West,Teignbridge,2011,195000,22890,8.52
South West,Torridge,2011,180000,20670,8.71
South West,West Devon,2011,187975,23149,8.12
South West,Cheltenham,2011,195000,27020,7.22
South West,Cotswold,2011,265000,24393,10.86
South West,Forest of Dean,2011,171998,26241,6.55
South West,Gloucester,2011,138725,23011,6.03
South West,Stroud,2011,190000,26351,7.21
South West,Tewkesbury,2011,186300,28901,6.45
South West,Mendip,2011,180000,26090,6.9
South West,Sedgemoor,2011,162973,21933,7.43
South West,South Somerset,2011,175000,23890,7.33
South West,Somerset West and Taunton,2011,180000,24292,7.41
Wales,Isle of Anglesey,2011,143250,21079,6.8
Wales,Gwynedd,2011,134500,22262,6.04
Wales,Conwy,2011,145000,22824,6.35
Wales,Denbighshire,2011,125000,22676,5.51
Wales,Flintshire,2011,136000,24385,5.58
Wales,Wrexham,2011,128750,22385,5.75
Wales,Ceredigion,2011,170000,21951,7.74
Wales,Pembrokeshire,2011,153374,23671,6.48
Wales,Carmarthenshire,2011,125000,22507,5.55
Wales,Swansea,2011,127000,25214,5.04
Wales,Neath Port Talbot,2011,98000,22732,4.31
Wales,Bridgend,2011,123000,23691,5.19
Wales,Vale of Glamorgan,2011,165000,26900,6.13
Wales,Cardiff,2011,155000,25183,6.15
Wales,Rhondda Cynon Taf,2011,89500,23233,3.85
Wales,Caerphilly,2011,108400,22810,4.75
Wales,Blaenau Gwent,2011,71500,19627,3.64
Wales,Torfaen,2011,118000,23715,4.98
Wales,Monmouthshire,2011,189975,28539,6.66
Wales,Newport,2011,124950,23615,5.29
Wales,Powys,2011,154998,22937,6.76
Wales,Merthyr Tydfil,2011,85000,21450,3.96
North East,Hartlepool,2021,135000,27714,4.87
North East,Middlesbrough,2021,139500,26337,5.3
North East,Redcar and Cleveland,2021,145000,24811,5.84
North East,Stockton-on-Tees,2021,160000,28434,5.63
North East,Darlington,2021,158500,30435,5.21
North East,County Durham,2021,130000,28137,4.62
North East,Northumberland,2021,190000,29061,6.54
North East,Newcastle upon Tyne,2021,186000,30297,6.14
North East,North Tyneside,2021,185000,29027,6.37
North East,South Tyneside,2021,150000,27445,5.47
North East,Sunderland,2021,140000,24948,5.61
North East,Gateshead,2021,150000,26996,5.56
North West,Halton,2021,162000,28810,5.62
North West,Warrington,2021,230000,31428,7.32
North West,Blackburn with Darwen,2021,140000,25907,5.4
North West,Blackpool,2021,125000,22666,5.51
North West,Cheshire East,2021,268000,31568,8.49
North West,Cheshire West and Chester,2021,236000,32461,7.27
North West,Allerdale,2021,175000,35391,4.94
North West,Barrow-in-Furness,2021,144000,34546,4.17
North West,Carlisle,2021,160000,26525,6.03
North West,Copeland,2021,140000,43509,3.22
North West,Eden,2021,230000,31677,7.26
North West,South Lakeland,2021,268000,30303,8.84
North West,Burnley,2021,117500,27115,4.33
North West,Chorley,2021,195000,33954,5.74
North West,Fylde,2021,222500,30518,7.29
North West,Hyndburn,2021,117500,26891,4.37
North West,Lancaster,2021,180000,30971,5.81
North West,Pendle,2021,135000,23352,5.78
North West,Preston,2021,167000,27443,6.09
North West,Ribble Valley,2021,252000,33134,7.61
North West,Rossendale,2021,170000,29009,5.86
North West,South Ribble,2021,186000,28260,6.58
North West,West Lancashire,2021,217500,28422,7.65
North West,Wyre,2021,181000,29348,6.17
North West,Bolton,2021,163000,27020,6.03
North West,Bury,2021,212000,31228,6.79
North West,Manchester,2021,220000,27500,8
North West,Oldham,2021,170000,27596,6.16
North West,Rochdale,2021,170000,25634,6.63
North West,Salford,2021,205000,27976,7.33
North West,Stockport,2021,275000,30470,9.03
North West,Tameside,2021,175000,27682,6.32
North West,Trafford,2021,320000,34906,9.17
North West,Wigan,2021,163000,30904,5.27
North West,Knowsley,2021,165000,29710,5.55
North West,Liverpool,2021,157000,30059,5.22
North West,St. Helens,2021,157500,29372,5.36
North West,Sefton,2021,200000,30309,6.6
North West,Wirral,2021,195000,29503,6.61
Yorkshire and The Humber,"Kingston upon Hull, City of",2021,127000,26248,4.84
Yorkshire and The Humber,East Riding of Yorkshire,2021,210000,30342,6.92
Yorkshire and The Humber,North East Lincolnshire,2021,150000,28056,5.35
Yorkshire and The Humber,North Lincolnshire,2021,163000,29352,5.55
Yorkshire and The Humber,York,2021,275000,31007,8.87
Yorkshire and The Humber,Craven,2021,245000,26839,9.13
Yorkshire and The Humber,Hambleton,2021,269975,28486,9.48
Yorkshire and The Humber,Harrogate,2021,323000,32846,9.83
Yorkshire and The Humber,Richmondshire,2021,248000,26827,9.24
Yorkshire and The Humber,Ryedale,2021,250000,26059,9.59
Yorkshire and The Humber,Scarborough,2021,185000,28195,6.56
Yorkshire and The Humber,Selby,2021,228050,33010,6.91
Yorkshire and The Humber,Barnsley,2021,149995,27743,5.41
Yorkshire and The Humber,Doncaster,2021,153625,28733,5.35
Yorkshire and The Humber,Rotherham,2021,165000,26601,6.2
Yorkshire and The Humber,Sheffield,2021,183000,30557,5.99
Yorkshire and The Humber,Bradford,2021,156000,28431,5.49
Yorkshire and The Humber,Calderdale,2021,165000,27682,5.96
Yorkshire and The Humber,Kirklees,2021,180000,27832,6.47
Yorkshire and The Humber,Leeds,2021,220000,30800,7.14
Yorkshire and The Humber,Wakefield,2021,179000,27984,6.4
East Midlands,Derby,2021,185000,30715,6.02
East Midlands,Leicester,2021,210000,25266,8.31
East Midlands,Rutland,2021,315000,32620,9.66
East Midlands,Nottingham,2021,165000,25050,6.59
East Midlands,Amber Valley,2021,209950,31389,6.69
East Midlands,Bolsover,2021,159000,26409,6.02
East Midlands,Chesterfield,2021,182000,26705,6.82
East Midlands,Derbyshire Dales,2021,290000,28284,10.25
East Midlands,Erewash,2021,185000,29980,6.17
East Midlands,High Peak,2021,221748,28680,7.73
East Midlands,North East Derbyshire,2021,220000,29309,7.51
East Midlands,South Derbyshire,2021,230000,32746,7.02
East Midlands,Blaby,2021,250000,29036,8.61
East Midlands,Charnwood,2021,248748,28691,8.67
East Midlands,Harborough,2021,324995,36307,8.95
East Midlands,Hinckley and Bosworth,2021,235000,30754,7.64
East Midlands,Melton,2021,265000,24128,10.98
East Midlands,North West Leicestershire,2021,247345,31354,7.89
East Midlands,Oadby and Wigston,2021,257000,26417,9.73
East Midlands,Boston,2021,185000,24591,7.52
East Midlands,East Lindsey,2021,198000,26015,7.61
East Midlands,Lincoln,2021,172500,25604,6.74
East Midlands,North Kesteven,2021,228000,31219,7.3
East Midlands,South Holland,2021,217500,30476,7.14
East Midlands,South Kesteven,2021,245000,28911,8.47
East Midlands,West Lindsey,2021,220000,31131,7.07
East Midlands,North Northamptonshire,2021,235000,29575,7.95
East Midlands,West Northamptonshire,2021,275000,30395,9.05
East Midlands,Ashfield,2021,170000,27359,6.21
East Midlands,Bassetlaw,2021,190000,26282,7.23
East Midlands,Broxtowe,2021,218475,32375,6.75
East Midlands,Gedling,2021,217000,30321,7.16
East Midlands,Mansfield,2021,165000,26441,6.24
East Midlands,Newark and Sherwood,2021,222500,30811,7.22
East Midlands,Rushcliffe,2021,305000,34474,8.85
West Midlands,"Herefordshire, County of",2021,275000,29243,9.4
West Midlands,Telford and Wrekin,2021,207950,28169,7.38
West Midlands,Stoke-on-Trent,2021,135000,26487,5.1
West Midlands,Shropshire,2021,255500,29517,8.66
West Midlands,Cannock Chase,2021,197500,29368,6.73
West Midlands,East Staffordshire,2021,218000,28054,7.77
West Midlands,Lichfield,2021,276975,35042,7.9
West Midlands,Newcastle-under-Lyme,2021,169995,29584,5.75
West Midlands,South Staffordshire,2021,265000,32949,8.04
West Midlands,Stafford,2021,230000,31346,7.34
West Midlands,Staffordshire Moorlands,2021,200000,31295,6.39
West Midlands,Tamworth,2021,225000,27523,8.17
West Midlands,North Warwickshire,2021,250000,31145,8.03
West Midlands,Nuneaton and Bedworth,2021,209973,28853,7.28
West Midlands,Rugby,2021,268100,33386,8.03
West Midlands,Stratford-on-Avon,2021,350000,34610,10.11
West Midlands,Warwick,2021,335000,36238,9.24
West Midlands,Bromsgrove,2021,320000,34593,9.25
West Midlands,Malvern Hills,2021,317000,31566,10.04
West Midlands,Redditch,2021,239250,25723,9.3
West Midlands,Worcester,2021,230000,29987,7.67
West Midlands,Wychavon,2021,305000,28219,10.81
West Midlands,Wyre Forest,2021,220000,28700,7.67
West Midlands,Birmingham,2021,210000,28884,7.27
West Midlands,Coventry,2021,202500,30663,6.6
West Midlands,Dudley,2021,200000,29298,6.83
West Midlands,Sandwell,2021,174000,26615,6.54
West Midlands,Solihull,2021,325000,35515,9.15
West Midlands,Walsall,2021,187000,28444,6.57
West Midlands,Wolverhampton,2021,178000,27993,6.36
East of England,Peterborough,2021,222000,28644,7.75
East of England,Luton,2021,272000,28893,9.41
East of England,Southend-on-Sea,2021,323500,35646,9.08
East of England,Thurrock,2021,320000,35077,9.12
East of England,Bedford,2021,305000,31039,9.83
East of England,Central Bedfordshire,2021,340000,35000,9.71
East of England,Cambridge,2021,450000,36868,12.21
East of England,East Cambridgeshire,2021,325000,32454,10.01
East of England,Fenland,2021,215000,27148,7.92
East of England,Huntingdonshire,2021,300000,30521,9.83
East of England,South Cambridgeshire,2021,396995,39441,10.07
East of England,Basildon,2021,340000,32749,10.38
East of England,Braintree,2021,315000,31900,9.87
East of England,Brentwood,2021,475000,34719,13.68
East of England,Castle Point,2021,335000,32392,10.34
East of England,Chelmsford,2021,380000,37221,10.21
East of England,Colchester,2021,305000,30974,9.85
East of England,Epping Forest,2021,500000,36543,13.68
East of England,Harlow,2021,315000,28139,11.19
East of England,Maldon,2021,360000,35261,10.21
East of England,Rochford,2021,367500,38791,9.47
East of England,Tendring,2021,265000,30053,8.82
East of England,Uttlesford,2021,440000,36096,12.19
East of England,Broxbourne,2021,395000,34609,11.41
East of England,Dacorum,2021,425000,33962,12.51
East of England,Hertsmere,2021,530000,35325,15
East of England,North Hertfordshire,2021,397500,38413,10.35
East of England,Three Rivers,2021,495000,33935,14.59
East of England,Watford,2021,395000,31108,12.7
East of England,Breckland,2021,251983,26941,9.35
East of England,Broadland,2021,275000,29171,9.43
East of England,Great Yarmouth,2021,208000,27294,7.62
East of England,King's Lynn and West Norfolk,2021,255000,28124,9.07
East of England,North Norfolk,2021,295000,28011,10.53
East of England,Norwich,2021,218000,29175,7.47
East of England,South Norfolk,2021,283500,31492,9
East of England,Babergh,2021,320000,30000,10.67
East of England,Ipswich,2021,225000,28244,7.97
East of England,Mid Suffolk,2021,300000,30000,10
East of England,St Albans,2021,580000,45451,12.76
East of England,Welwyn Hatfield,2021,415000,31918,13
East of England,East Hertfordshire,2021,430000,38996,11.03
East of England,Stevenage,2021,305000,27475,11.1
East of England,East Suffolk,2021,275000,28934,9.5
East of England,West Suffolk,2021,275000,29137,9.44
London,City of London,2021,756250,:,:
London,Barking and Dagenham,2021,335000,32668,10.25
London,Barnet,2021,572000,35719,16.01
London,Bexley,2021,390000,37074,10.52
London,Brent,2021,525000,34130,15.38
London,Bromley,2021,496000,41427,11.97
London,Camden,2021,765000,39994,19.13
London,Croydon,2021,415000,36309,11.43
London,Ealing,2021,520500,35028,14.86
