Area Name,Type,Value
Darlington,Tenure: All households; measures: Value,46670
County Durham,Tenure: All households; measures: Value,223803
Hartlepool,Tenure: All households; measures: Value,40434
Middlesbrough,Tenure: All households; measures: Value,57203
Northumberland,Tenure: All households; measures: Value,138534
Redcar and Cleveland,Tenure: All households; measures: Value,59605
Stockton-on-Tees,Tenure: All households; measures: Value,79159
Gateshead,Tenure: All households; measures: Value,89154
Newcastle upon Tyne,Tenure: All households; measures: Value,117153
North Tyneside,Tenure: All households; measures: Value,91295
South Tyneside,Tenure: All households; measures: Value,67167
Sunderland,Tenure: All households; measures: Value,119758
Blackburn with Darwen,Tenure: All households; measures: Value,57353
Blackpool,Tenure: All households; measures: Value,64367
Cheshire East,Tenure: All households; measures: Value,159441
Cheshire West and Chester,Tenure: All households; measures: Value,141442
Halton,Tenure: All households; measures: Value,53312
Warrington,Tenure: All households; measures: Value,85140
Cumbria,Tenure: All households; measures: Value,222042
Bolton,Tenure: All households; measures: Value,116371
Bury,Tenure: All households; measures: Value,78113
Manchester,Tenure: All households; measures: Value,204969
Oldham,Tenure: All households; measures: Value,89703
Rochdale,Tenure: All households; measures: Value,87552
Salford,Tenure: All households; measures: Value,103556
Stockport,Tenure: All households; measures: Value,121979
Tameside,Tenure: All households; measures: Value,94953
Trafford,Tenure: All households; measures: Value,94484
Wigan,Tenure: All households; measures: Value,136386
Lancashire,Tenure: All households; measures: Value,496299
Knowsley,Tenure: All households; measures: Value,61323
Liverpool,Tenure: All households; measures: Value,206515
Sefton,Tenure: All households; measures: Value,117930
St. Helens,Tenure: All households; measures: Value,75736
Wirral,Tenure: All households; measures: Value,140583
East Riding of Yorkshire,Tenure: All households; measures: Value,143032
"Kingston upon Hull, City of",Tenure: All households; measures: Value,112596
North East Lincolnshire,Tenure: All households; measures: Value,69707
North Lincolnshire,Tenure: All households; measures: Value,70684
York,Tenure: All households; measures: Value,83552
North Yorkshire,Tenure: All households; measures: Value,256594
Barnsley,Tenure: All households; measures: Value,100734
Doncaster,Tenure: All households; measures: Value,126487
Rotherham,Tenure: All households; measures: Value,108293
Sheffield,Tenure: All households; measures: Value,229928
Bradford,Tenure: All households; measures: Value,199296
Calderdale,Tenure: All households; measures: Value,88621
Kirklees,Tenure: All households; measures: Value,173525
Leeds,Tenure: All households; measures: Value,320596
Wakefield,Tenure: All households; measures: Value,140414
Derby,Tenure: All households; measures: Value,102271
Leicester,Tenure: All households; measures: Value,123125
Nottingham,Tenure: All households; measures: Value,126131
Rutland,Tenure: All households; measures: Value,15002
Derbyshire,Tenure: All households; measures: Value,332637
Leicestershire,Tenure: All households; measures: Value,267434
Lincolnshire,Tenure: All households; measures: Value,306971
Northamptonshire,Tenure: All households; measures: Value,287730
Nottinghamshire,Tenure: All households; measures: Value,334303
"Herefordshire, County of",Tenure: All households; measures: Value,78319
Shropshire,Tenure: All households; measures: Value,129674
Stoke-on-Trent,Tenure: All households; measures: Value,107575
Telford and Wrekin,Tenure: All households; measures: Value,66608
Staffordshire,Tenure: All households; measures: Value,355263
Warwickshire,Tenure: All households; measures: Value,231005
Birmingham,Tenure: All households; measures: Value,410736
Coventry,Tenure: All households; measures: Value,128592
Dudley,Tenure: All households; measures: Value,129867
Sandwell,Tenure: All households; measures: Value,121498
Solihull,Tenure: All households; measures: Value,86056
Walsall,Tenure: All households; measures: Value,107822
Wolverhampton,Tenure: All households; measures: Value,102177
Worcestershire,Tenure: All households; measures: Value,239717
Bedford,Tenure: All households; measures: Value,63812
Central Bedfordshire,Tenure: All households; measures: Value,104399
Luton,Tenure: All households; measures: Value,74293
Peterborough,Tenure: All households; measures: Value,74023
Southend-on-Sea,Tenure: All households; measures: Value,74678
Thurrock,Tenure: All households; measures: Value,62353
Cambridgeshire,Tenure: All households; measures: Value,251241
Essex,Tenure: All households; measures: Value,581589
Hertfordshire,Tenure: All households; measures: Value,453817
Norfolk,Tenure: All households; measures: Value,372085
Suffolk,Tenure: All households; measures: Value,310745
Camden,Tenure: All households; measures: Value,97534
City of London,Tenure: All households; measures: Value,4385
Hackney,Tenure: All households; measures: Value,101690
Hammersmith and Fulham,Tenure: All households; measures: Value,80590
Haringey,Tenure: All households; measures: Value,101955
Islington,Tenure: All households; measures: Value,93556
Kensington and Chelsea,Tenure: All households; measures: Value,78536
Lambeth,Tenure: All households; measures: Value,130017
Lewisham,Tenure: All households; measures: Value,116091
Newham,Tenure: All households; measures: Value,101519
Southwark,Tenure: All households; measures: Value,120422
Tower Hamlets,Tenure: All households; measures: Value,101257
Wandsworth,Tenure: All households; measures: Value,130493
Westminster,Tenure: All households; measures: Value,105772
Barking and Dagenham,Tenure: All households; measures: Value,69681
Barnet,Tenure: All households; measures: Value,135916
Bexley,Tenure: All households; measures: Value,92604
Brent,Tenure: All households; measures: Value,110286
Bromley,Tenure: All households; measures: Value,130862
Croydon,Tenure: All households; measures: Value,145010
Ealing,Tenure: All households; measures: Value,124082
Enfield,Tenure: All households; measures: Value,119916
Greenwich,Tenure: All households; measures: Value,101045
Harrow,Tenure: All households; measures: Value,84268
Havering,Tenure: All households; measures: Value,97199
Hillingdon,Tenure: All households; measures: Value,100214
Hounslow,Tenure: All households; measures: Value,94902
Kingston upon Thames,Tenure: All households; measures: Value,63639
Merton,Tenure: All households; measures: Value,78757
Redbridge,Tenure: All households; measures: Value,99105
Richmond upon Thames,Tenure: All households; measures: Value,79835
Sutton,Tenure: All households; measures: Value,78174
Waltham Forest,Tenure: All households; measures: Value,96861
Bracknell Forest,Tenure: All households; measures: Value,45878
Brighton and Hove,Tenure: All households; measures: Value,121540
Isle of Wight,Tenure: All households; measures: Value,61085
Medway,Tenure: All households; measures: Value,106209
Milton Keynes,Tenure: All households; measures: Value,98584
Portsmouth,Tenure: All households; measures: Value,85473
Reading,Tenure: All households; measures: Value,62869
Slough,Tenure: All households; measures: Value,50766
Southampton,Tenure: All households; measures: Value,98254
West Berkshire,Tenure: All households; measures: Value,62340
Windsor and Maidenhead,Tenure: All households; measures: Value,58349
Wokingham,Tenure: All households; measures: Value,60332
Buckinghamshire,Tenure: All households; measures: Value,200727
East Sussex,Tenure: All households; measures: Value,231905
Hampshire,Tenure: All households; measures: Value,545254
Kent,Tenure: All households; measures: Value,605638
Oxfordshire,Tenure: All households; measures: Value,258855
Surrey,Tenure: All households; measures: Value,455791
West Sussex,Tenure: All households; measures: Value,345614
Bath and North East Somerset,Tenure: All households; measures: Value,73515
Bournemouth,Tenure: All households; measures: Value,82374
"Bristol, City of",Tenure: All households; measures: Value,182747
Cornwall,Tenure: All households; measures: Value,230389
Isles of Scilly,Tenure: All households; measures: Value,989
North Somerset,Tenure: All households; measures: Value,88227
Plymouth,Tenure: All households; measures: Value,109307
