label,Type,Value
Darlington,Owns Outright,13810
County Durham,Owns Outright,69435
Hartlepool,Owns Outright,11090
Middlesbrough,Owns Outright,15200
Northumberland,Owns Outright,46086
Redcar and Cleveland,Owns Outright,19806
Stockton-on-Tees,Owns Outright,23285
Gateshead,Owns Outright,23081
Newcastle upon Tyne,Owns Outright,26258
North Tyneside,Owns Outright,25611
South Tyneside,Owns Outright,17003
Sunderland,Owns Outright,32419
Blackburn with Darwen,Owns Outright,18039
Blackpool,Owns Outright,19318
Cheshire East,Owns Outright,59846
Cheshire West and Chester,Owns Outright,49129
Halton,Owns Outright,14436
Warrington,Owns Outright,27206
Cumbria,Owns Outright,87019
Bolton,Owns Outright,35378
Bury,Owns Outright,24839
Manchester,Owns Outright,31145
Oldham,Owns Outright,27193
Rochdale,Owns Outright,24334
Salford,Owns Outright,22603
Stockport,Owns Outright,42761
Tameside,Owns Outright,26688
Trafford,Owns Outright,30322
Wigan,Owns Outright,42446
Lancashire,Owns Outright,177209
Knowsley,Owns Outright,16032
Liverpool,Owns Outright,43803
Sefton,Owns Outright,42334
St. Helens,Owns Outright,25215
Wirral,Owns Outright,46806
East Riding of Yorkshire,Owns Outright,56140
"Kingston upon Hull, City of",Owns Outright,22355
North East Lincolnshire,Owns Outright,21497
North Lincolnshire,Owns Outright,23355
York,Owns Outright,28351
North Yorkshire,Owns Outright,98525
Barnsley,Owns Outright,30778
Doncaster,Owns Outright,39253
Rotherham,Owns Outright,33031
Sheffield,Owns Outright,62329
Bradford,Owns Outright,58487
Calderdale,Owns Outright,27671
Kirklees,Owns Outright,55569
Leeds,Owns Outright,83385
Wakefield,Owns Outright,40766
Derby,Owns Outright,30239
Leicester,Owns Outright,28018
Nottingham,Owns Outright,25152
Rutland,Owns Outright,5889
Derbyshire,Owns Outright,119282
Leicestershire,Owns Outright,99100
Lincolnshire,Owns Outright,110454
Northamptonshire,Owns Outright,83859
Nottinghamshire,Owns Outright,119231
"Herefordshire, County of",Owns Outright,30867
Shropshire,Owns Outright,49998
Stoke-on-Trent,Owns Outright,30628
Telford and Wrekin,Owns Outright,18106
Staffordshire,Owns Outright,128676
Warwickshire,Owns Outright,79796
Birmingham,Owns Outright,106416
Coventry,Owns Outright,37644
Dudley,Owns Outright,45383
Sandwell,Owns Outright,32253
Solihull,Owns Outright,32227
Walsall,Owns Outright,33516
Wolverhampton,Owns Outright,29416
Worcestershire,Owns Outright,85973
Bedford,Owns Outright,20018
Central Bedfordshire,Owns Outright,33039
Luton,Owns Outright,18619
Peterborough,Owns Outright,19134
Southend-on-Sea,Owns Outright,22960
Thurrock,Owns Outright,15899
Cambridgeshire,Owns Outright,80204
Essex,Owns Outright,201533
Hertfordshire,Owns Outright,136244
Norfolk,Owns Outright,138288
Suffolk,Owns Outright,111081
Camden,Owns Outright,16644
City of London,Owns Outright,1093
Hackney,Owns Outright,8597
Hammersmith and Fulham,Owns Outright,12777
Haringey,Owns Outright,16326
Islington,Owns Outright,10587
Kensington and Chelsea,Owns Outright,17933
Lambeth,Owns Outright,14778
Lewisham,Owns Outright,17273
Newham,Owns Outright,12993
Southwark,Owns Outright,11805
Tower Hamlets,Owns Outright,8648
Wandsworth,Owns Outright,24067
Westminster,Owns Outright,18692
Barking and Dagenham,Owns Outright,11908
Barnet,Owns Outright,38105
Bexley,Owns Outright,30127
Brent,Owns Outright,22416
Bromley,Owns Outright,43649
Croydon,Owns Outright,34882
Ealing,Owns Outright,28414
Enfield,Owns Outright,31452
Greenwich,Owns Outright,16585
Harrow,Owns Outright,26246
Havering,Owns Outright,34625
Hillingdon,Owns Outright,27921
Hounslow,Owns Outright,20048
Kingston upon Thames,Owns Outright,17727
Merton,Owns Outright,20160
Redbridge,Owns Outright,27911
Richmond upon Thames,Owns Outright,23756
Sutton,Owns Outright,22357
Waltham Forest,Owns Outright,19396
Bracknell Forest,Owns Outright,11420
Brighton and Hove,Owns Outright,28397
Isle of Wight,Owns Outright,25091
Medway,Owns Outright,30697
Milton Keynes,Owns Outright,21157
Portsmouth,Owns Outright,20616
Reading,Owns Outright,14222
Slough,Owns Outright,9502
Southampton,Owns Outright,21286
West Berkshire,Owns Outright,19455
Windsor and Maidenhead,Owns Outright,19013
Wokingham,Owns Outright,21461
Buckinghamshire,Owns Outright,68784
East Sussex,Owns Outright,87976
Hampshire,Owns Outright,188397
Kent,Owns Outright,200638
Oxfordshire,Owns Outright,83521
Surrey,Owns Outright,158719
West Sussex,Owns Outright,125729
Bath and North East Somerset,Owns Outright,25827
Bournemouth,Owns Outright,22820
"Bristol, City of",Owns Outright,44928
Cornwall,Owns Outright,92113
Isles of Scilly,Owns Outright,313
North Somerset,Owns Outright,32474
Plymouth,Owns Outright,29763
Poole,Owns Outright,22719
South Gloucestershire,Owns Outright,37050
Swindon,Owns Outright,22749
Torbay,Owns Outright,21503
Wiltshire,Owns Outright,65734
Devon,Owns Outright,130281
Dorset,Owns Outright,77407
Gloucestershire,Owns Outright,90327
Somerset,Owns Outright,85778
Isle of Anglesey,Owns Outright,12444
Gwynedd,Owns Outright,21168
Conwy,Owns Outright,20409
Denbighshire,Owns Outright,14937
Flintshire,Owns Outright,22397
Wrexham,Owns Outright,17364
Powys,Owns Outright,25626
Ceredigion,Owns Outright,13821
Pembrokeshire,Owns Outright,22307
Carmarthenshire,Owns Outright,32648
Swansea,Owns Outright,34576
Neath Port Talbot,Owns Outright,21976
Bridgend,Owns Outright,20459
Vale of Glamorgan,Owns Outright,18954
Cardiff,Owns Outright,37788
Rhondda Cynon Taff,Owns Outright,36338
