label,cx,cy,Type,Value
Hartlepool,-1.255491673,54.6687524,Owns with a mortgage or loan or shared ownership,11312
Middlesbrough,-1.222803326,54.54263426,Owns with a mortgage or loan or shared ownership,16243
Redcar and Cleveland,-1.0215477,54.55345675,Owns with a mortgage or loan or shared ownership,17551
Stockton-on-Tees,-1.32897817,54.56246316,Owns with a mortgage or loan or shared ownership,28071
Darlington,-1.552697772,54.54875917,Owns with a mortgage or loan or shared ownership,14664
Halton,-2.720016309,53.34379321,Owns with a mortgage or loan or shared ownership,17173
Warrington,-2.562849436,53.39848758,Owns with a mortgage or loan or shared ownership,30932
Blackburn with Darwen,-2.467125659,53.69224143,Owns with a mortgage or loan or shared ownership,16266
Blackpool,-3.035480896,53.81754916,Owns with a mortgage or loan or shared ownership,17099
"Kingston upon Hull, City of",-0.336393722,53.76014155,Owns with a mortgage or loan or shared ownership,29631
East Riding of Yorkshire,-0.482243608,53.86796645,Owns with a mortgage or loan or shared ownership,46152
North East Lincolnshire,-0.133932131,53.54403874,Owns with a mortgage or loan or shared ownership,20569
North Lincolnshire,-0.592051957,53.59430536,Owns with a mortgage or loan or shared ownership,21771
York,-1.060622908,53.95864242,Owns with a mortgage or loan or shared ownership,24901
Derby,-1.468345352,52.91277199,Owns with a mortgage or loan or shared ownership,29775
Leicester,-1.127552546,52.63828214,Owns with a mortgage or loan or shared ownership,28768
Rutland,-0.654131628,52.66070059,Owns with a mortgage or loan or shared ownership,4788
Nottingham,-1.175936864,52.96117684,Owns with a mortgage or loan or shared ownership,28984
"Herefordshire, County of",-2.745674847,52.10375789,Owns with a mortgage or loan or shared ownership,20809
Telford and Wrekin,-2.488480286,52.73019552,Owns with a mortgage or loan or shared ownership,23362
Stoke-on-Trent,-2.165178307,53.01764815,Owns with a mortgage or loan or shared ownership,29499
Bath and North East Somerset,-2.474413176,51.35610688,Owns with a mortgage or loan or shared ownership,23668
"Bristol, City of",-2.77019708,51.45262518,Owns with a mortgage or loan or shared ownership,56877
North Somerset,-2.799962352,51.38924102,Owns with a mortgage or loan or shared ownership,31211
South Gloucestershire,-2.471175154,51.54735612,Owns with a mortgage or loan or shared ownership,43503
Plymouth,-4.120169786,50.39116289,Owns with a mortgage or loan or shared ownership,33604
Torbay,-3.530450608,50.44080631,Owns with a mortgage or loan or shared ownership,16321
Swindon,-1.744335675,51.57133752,Owns with a mortgage or loan or shared ownership,34278
Peterborough,-0.253777754,52.60847253,Owns with a mortgage or loan or shared ownership,25791
Luton,-0.424494227,51.89426164,Owns with a mortgage or loan or shared ownership,22707
Southend-on-Sea,0.728995239,51.53762932,Owns with a mortgage or loan or shared ownership,23804
Thurrock,0.374103739,51.50602384,Owns with a mortgage or loan or shared ownership,25553
Medway,0.570017714,51.42566667,Owns with a mortgage or loan or shared ownership,39380
Bracknell Forest,-0.739927541,51.40780192,Owns with a mortgage or loan or shared ownership,19930
West Berkshire,-1.304854635,51.44968897,Owns with a mortgage or loan or shared ownership,22706
Reading,-0.984755179,51.4532474,Owns with a mortgage or loan or shared ownership,19590
Slough,-0.586813114,51.50816196,Owns with a mortgage or loan or shared ownership,15759
Windsor and Maidenhead,-0.698992594,51.48508413,Owns with a mortgage or loan or shared ownership,20305
Wokingham,-0.884141546,51.42928171,Owns with a mortgage or loan or shared ownership,29073
Milton Keynes,-0.733464556,52.08427496,Owns with a mortgage or loan or shared ownership,41657
Brighton and Hove,-0.132123613,50.84329958,Owns with a mortgage or loan or shared ownership,32970
Portsmouth,-1.078468108,50.82068758,Owns with a mortgage or loan or shared ownership,23835
Southampton,-1.398613707,50.91698354,Owns with a mortgage or loan or shared ownership,26850
Isle of Wight,-1.296861898,50.67568106,Owns with a mortgage or loan or shared ownership,15592
County Durham,-1.839064804,54.69541122,Owns with a mortgage or loan or shared ownership,66467
Cheshire East,-2.349049597,53.18059798,Owns with a mortgage or loan or shared ownership,58227
Cheshire West and Chester,-2.736159909,53.20014942,Owns with a mortgage or loan or shared ownership,50281
Shropshire,-2.734085762,52.63579668,Owns with a mortgage or loan or shared ownership,37692
Cornwall,-4.825169974,50.40558138,Owns with a mortgage or loan or shared ownership,64248
Isles of Scilly,-6.298785649,49.92068351,Owns with a mortgage or loan or shared ownership,112
Wiltshire,-1.945053494,51.2973379,Owns with a mortgage or loan or shared ownership,66093
Bedford,-0.476597843,52.18934847,Owns with a mortgage or loan or shared ownership,25032
Central Bedfordshire,-0.436279775,52.00665229,Owns with a mortgage or loan or shared ownership,47417
Northumberland,-2.065310563,55.24272759,Owns with a mortgage or loan or shared ownership,39905
"Bournemouth, Christchurch and Poole",-1.882878934,50.74671957,Owns with a mortgage or loan or shared ownership,50711
Dorset,-2.333598515,50.80597544,Owns with a mortgage or loan or shared ownership,43213
Buckinghamshire,-0.812083184,51.78521255,Owns with a mortgage or loan or shared ownership,79839
North Northamptonshire,-0.626317019,52.42512438,Owns with a mortgage or loan or shared ownership,51005
West Northamptonshire,-1.036377869,52.22299295,Owns with a mortgage or loan or shared ownership,60820
Cambridge,0.131519818,52.19878641,Owns with a mortgage or loan or shared ownership,11106
East Cambridgeshire,0.295246863,52.34288539,Owns with a mortgage or loan or shared ownership,12387
Fenland,0.061111401,52.56272235,Owns with a mortgage or loan or shared ownership,13056
Huntingdonshire,-0.220643903,52.37391109,Owns with a mortgage or loan or shared ownership,26453
South Cambridgeshire,0.083682833,52.17420306,Owns with a mortgage or loan or shared ownership,23413
Allerdale,-3.246882232,54.71139034,Owns with a mortgage or loan or shared ownership,11517
Barrow-in-Furness,-3.21295987,54.12567821,Owns with a mortgage or loan or shared ownership,10265
Carlisle,-2.808328857,54.97104294,Owns with a mortgage or loan or shared ownership,15039
Copeland,-3.374034442,54.41419188,Owns with a mortgage or loan or shared ownership,8947
Eden,-2.621887446,54.61288528,Owns with a mortgage or loan or shared ownership,5958
South Lakeland,-2.850761571,54.29246643,Owns with a mortgage or loan or shared ownership,12149
Amber Valley,-1.466961273,53.02952476,Owns with a mortgage or loan or shared ownership,17771
Bolsover,-1.277171438,53.21522248,Owns with a mortgage or loan or shared ownership,10990
Chesterfield,-1.401065008,53.25538362,Owns with a mortgage or loan or shared ownership,12982
Derbyshire Dales,-1.694306732,53.12866005,Owns with a mortgage or loan or shared ownership,8143
Erewash,-1.347167505,52.93521496,Owns with a mortgage or loan or shared ownership,16550
High Peak,-1.873781106,53.37334676,Owns with a mortgage or loan or shared ownership,12846
North East Derbyshire,-1.447689952,53.22607587,Owns with a mortgage or loan or shared ownership,13737
South Derbyshire,-1.559800243,52.83078401,Owns with a mortgage or loan or shared ownership,17689
East Devon,-3.223581574,50.76412007,Owns with a mortgage or loan or shared ownership,17914
Exeter,-3.510156903,50.72184259,Owns with a mortgage or loan or shared ownership,14286
Mid Devon,-3.556215665,50.87581723,Owns with a mortgage or loan or shared ownership,10353
North Devon,-3.914595449,51.06972399,Owns with a mortgage or loan or shared ownership,11502
South Hams,-3.823395708,50.37345689,Owns with a mortgage or loan or shared ownership,10636
Teignbridge,-3.656907725,50.6063386,Owns with a mortgage or loan or shared ownership,17545
Torridge,-4.248486013,50.88591211,Owns with a mortgage or loan or shared ownership,7581
West Devon,-4.045973588,50.65587486,Owns with a mortgage or loan or shared ownership,6219
Eastbourne,0.26546236,50.77531616,Owns with a mortgage or loan or shared ownership,11194
Hastings,0.570346392,50.8694871,Owns with a mortgage or loan or shared ownership,10446
Lewes,0.005264897,50.88150528,Owns with a mortgage or loan or shared ownership,12959
Rother,0.538581664,50.95178525,Owns with a mortgage or loan or shared ownership,10582
Wealden,0.197874462,50.96758569,Owns with a mortgage or loan or shared ownership,22827
Basildon,0.465679283,51.59033466,Owns with a mortgage or loan or shared ownership,26144
Braintree,0.590114655,51.942004,Owns with a mortgage or loan or shared ownership,22303
Brentwood,0.310749909,51.63854708,Owns with a mortgage or loan or shared ownership,11675
Castle Point,0.593693535,51.53628576,Owns with a mortgage or loan or shared ownership,13135
Chelmsford,0.480997185,51.72544859,Owns with a mortgage or loan or shared ownership,26570
Colchester,0.86138368,51.87261073,Owns with a mortgage or loan or shared ownership,25771
Epping Forest,0.14822602,51.70876461,Owns with a mortgage or loan or shared ownership,19160
Harlow,0.108905467,51.76897982,Owns with a mortgage or loan or shared ownership,12121
Maldon,0.783836065,51.70919684,Owns with a mortgage or loan or shared ownership,9261
Rochford,0.810140477,51.59115862,Owns with a mortgage or loan or shared ownership,13307
Tendring,1.115496807,51.87126931,Owns with a mortgage or loan or shared ownership,17019
Uttlesford,0.279512164,51.93486071,Owns with a mortgage or loan or shared ownership,13568
Cheltenham,-2.072887206,51.89628748,Owns with a mortgage or loan or shared ownership,15670
Cotswold,-1.892465444,51.81643589,Owns with a mortgage or loan or shared ownership,11129
Forest of Dean,-2.489829872,51.82865316,Owns with a mortgage or loan or shared ownership,10871
Gloucester,-2.240448274,51.84987819,Owns with a mortgage or loan or shared ownership,18499
Stroud,-2.300134096,51.72963652,Owns with a mortgage or loan or shared ownership,17163
Tewkesbury,-2.088020906,51.94558768,Owns with a mortgage or loan or shared ownership,13893
Basingstoke and Deane,-1.201244159,51.27348604,Owns with a mortgage or loan or shared ownership,27645
East Hampshire,-0.95483852,51.0744378,Owns with a mortgage or loan or shared ownership,18147
Eastleigh,-1.327904779,50.93309664,Owns with a mortgage or loan or shared ownership,21539
Fareham,-1.226221305,50.8524203,Owns with a mortgage or loan or shared ownership,17379
Gosport,-1.158812768,50.80548305,Owns with a mortgage or loan or shared ownership,10969
Hart,-0.897883065,51.28474992,Owns with a mortgage or loan or shared ownership,16046
Havant,-0.989837407,50.83874512,Owns with a mortgage or loan or shared ownership,15995
New Forest,-1.625525482,50.85859358,Owns with a mortgage or loan or shared ownership,21875
Rushmoor,-0.767550882,51.27424876,Owns with a mortgage or loan or shared ownership,14474
Test Valley,-1.511029682,51.1284833,Owns with a mortgage or loan or shared ownership,19023
Winchester,-1.221369927,51.02823248,Owns with a mortgage or loan or shared ownership,15972
Broxbourne,-0.048278215,51.72431754,Owns with a mortgage or loan or shared ownership,14599
Dacorum,-0.540983785,51.77833683,Owns with a mortgage or loan or shared ownership,21331
Hertsmere,-0.280656855,51.67740519,Owns with a mortgage or loan or shared ownership,14660
North Hertfordshire,-0.192412242,51.95931788,Owns with a mortgage or loan or shared ownership,18470
Three Rivers,-0.460778533,51.66126119,Owns with a mortgage or loan or shared ownership,13610
Watford,-0.402759346,51.66808894,Owns with a mortgage or loan or shared ownership,12687
Ashford,0.81191686,51.12520995,Owns with a mortgage or loan or shared ownership,18482
Canterbury,1.101422554,51.28328431,Owns with a mortgage or loan or shared ownership,17422
Dartford,0.2540746,51.43142598,Owns with a mortgage or loan or shared ownership,18736
Dover,1.289170214,51.21240819,Owns with a mortgage or loan or shared ownership,14112
Gravesham,0.396045524,51.40558903,Owns with a mortgage or loan or shared ownership,13385
Maidstone,0.580573702,51.23479262,Owns with a mortgage or loan or shared ownership,25149
Sevenoaks,0.171701145,51.27599765,Owns with a mortgage or loan or shared ownership,17210
Folkestone and Hythe,0.995724342,51.054408,Owns with a mortgage or loan or shared ownership,13206
Swale,0.812481002,51.34171891,Owns with a mortgage or loan or shared ownership,20547
Thanet,1.340396403,51.35426394,Owns with a mortgage or loan or shared ownership,15713
Tonbridge and Malling,0.357090525,51.27296673,Owns with a mortgage or loan or shared ownership,20234
Tunbridge Wells,0.430918392,51.11408369,Owns with a mortgage or loan or shared ownership,15590
Burnley,-2.221402157,53.77886155,Owns with a mortgage or loan or shared ownership,10876
Chorley,-2.648161855,53.66120381,Owns with a mortgage or loan or shared ownership,17956
Fylde,-2.922332455,53.784236,Owns with a mortgage or loan or shared ownership,10863
Hyndburn,-2.389563336,53.75887795,Owns with a mortgage or loan or shared ownership,10107
Lancaster,-2.714570992,54.06913539,Owns with a mortgage or loan or shared ownership,17602
Pendle,-2.185645787,53.86547477,Owns with a mortgage or loan or shared ownership,10676
Preston,-2.697257226,53.81153827,Owns with a mortgage or loan or shared ownership,17035
Ribble Valley,-2.445112004,53.90724193,Owns with a mortgage or loan or shared ownership,8938
Rossendale,-2.266892572,53.69404607,Owns with a mortgage or loan or shared ownership,10262
South Ribble,-2.710691477,53.72807753,Owns with a mortgage or loan or shared ownership,17895
West Lancashire,-2.882483652,53.6095753,Owns with a mortgage or loan or shared ownership,15780
Wyre,-2.853666495,53.90293103,Owns with a mortgage or loan or shared ownership,14946
Blaby,-1.221576853,52.57168276,Owns with a mortgage or loan or shared ownership,16609
Charnwood,-1.14633676,52.73704582,Owns with a mortgage or loan or shared ownership,24654
Harborough,-1.007699842,52.53951562,Owns with a mortgage or loan or shared ownership,14953
Hinckley and Bosworth,-1.390600303,52.61663473,Owns with a mortgage or loan or shared ownership,17525
Melton,-0.855997158,52.79672433,Owns with a mortgage or loan or shared ownership,7120
North West Leicestershire,-1.405140341,52.753195,Owns with a mortgage or loan or shared ownership,16169
Oadby and Wigston,-1.093311627,52.58698967,Owns with a mortgage or loan or shared ownership,7464
Boston,-0.0217859,52.97429147,Owns with a mortgage or loan or shared ownership,7714
East Lindsey,0.029920432,53.24995025,Owns with a mortgage or loan or shared ownership,14424
Lincoln,-0.554931188,53.22472406,Owns with a mortgage or loan or shared ownership,10761
North Kesteven,-0.445942716,53.08121531,Owns with a mortgage or loan or shared ownership,17260
South Holland,-0.031965865,52.79785002,Owns with a mortgage or loan or shared ownership,12153
South Kesteven,-0.51836719,52.8547449,Owns with a mortgage or loan or shared ownership,19809
West Lindsey,-0.477428025,53.39286308,Owns with a mortgage or loan or shared ownership,12597
Breckland,0.836890107,52.58811364,Owns with a mortgage or loan or shared ownership,16768
Broadland,1.309592347,52.70135623,Owns with a mortgage or loan or shared ownership,18586
Great Yarmouth,1.661431393,52.64083725,Owns with a mortgage or loan or shared ownership,10671
King's Lynn and West Norfolk,0.47064174,52.7271544,Owns with a mortgage or loan or shared ownership,17473
North Norfolk,1.169508909,52.85044968,Owns with a mortgage or loan or shared ownership,10034
Norwich,1.279418606,52.6322924,Owns with a mortgage or loan or shared ownership,13160
South Norfolk,1.275850453,52.51448675,Owns with a mortgage or loan or shared ownership,19931
Craven,-2.174315011,54.07988758,Owns with a mortgage or loan or shared ownership,7021
